dropout,cov_heads,cov_emb,factor,lr,bs,grad_clip,enc_length,n_params,train_end,val_loss,test_loss,seconds_training,path
0.5,1,64,1,0.001,128,1,84,213316,1706,0.8508153557777405,0.871428906917572,1159.456848,hp_optim/models/Walmart/HNAM/lightning_logs/version_40/checkpoints/model-01-0.85.ckpt
0.5,1,64,1,0.001,128,1,84,213316,1737,0.8703888654708862,0.8388004302978516,1143.313829,hp_optim/models/Walmart/HNAM/lightning_logs/version_41/checkpoints/model-00-0.87.ckpt
0.1,1,8,2,0.01,128,0.1,84,7388,1706,0.8447064161300659,0.8629760146141052,1110.964661,hp_optim/models/Walmart/HNAM/lightning_logs/version_42/checkpoints/model-01-0.84.ckpt
0.1,1,8,2,0.01,128,0.1,84,7388,1737,0.85065096616745,0.8354748487472534,1565.170036,hp_optim/models/Walmart/HNAM/lightning_logs/version_43/checkpoints/model-19-0.85.ckpt
0.3,4,8,2,0.001,128,100,28,7388,1706,0.8479368686676025,0.8470999002456665,1962.238135,hp_optim/models/Walmart/HNAM/lightning_logs/version_44/checkpoints/model-17-0.85.ckpt
0.3,4,8,2,0.001,128,100,28,7388,1737,0.841479480266571,0.8366680145263672,1326.094647,hp_optim/models/Walmart/HNAM/lightning_logs/version_45/checkpoints/model-04-0.84.ckpt
0.5,1,64,2,0.001,256,100,28,262468,1706,0.859567403793335,0.8622492551803589,699.231293,hp_optim/models/Walmart/HNAM/lightning_logs/version_46/checkpoints/model-01-0.86.ckpt
0.5,1,64,2,0.001,256,100,28,262468,1737,0.8578718900680542,0.8569122552871704,716.310799,hp_optim/models/Walmart/HNAM/lightning_logs/version_47/checkpoints/model-01-0.86.ckpt
0.1,1,32,4,0.01,128,0.1,28,97508,1706,0.8643324375152588,0.8615437150001526,1182.094768,hp_optim/models/Walmart/HNAM/lightning_logs/version_48/checkpoints/model-00-0.86.ckpt
0.1,1,32,4,0.01,128,0.1,28,97508,1737,0.869472324848175,0.852541983127594,1216.323228,hp_optim/models/Walmart/HNAM/lightning_logs/version_49/checkpoints/model-00-0.87.ckpt
0.3,4,64,1,0.01,128,1,28,213316,1706,0.8553192019462585,0.8661651015281677,1247.451527,hp_optim/models/Walmart/HNAM/lightning_logs/version_50/checkpoints/model-03-0.86.ckpt
0.3,4,64,1,0.01,128,1,28,213316,1737,0.8558213710784912,0.8469020128250122,1124.896267,hp_optim/models/Walmart/HNAM/lightning_logs/version_51/checkpoints/model-00-0.86.ckpt
0.3,4,32,4,0.001,256,1,28,97508,1706,0.8582484126091003,0.8588045835494995,841.674437,hp_optim/models/Walmart/HNAM/lightning_logs/version_52/checkpoints/model-01-0.86.ckpt
0.3,4,32,4,0.001,256,1,28,97508,1737,0.856497049331665,0.8427400588989258,829.198378,hp_optim/models/Walmart/HNAM/lightning_logs/version_53/checkpoints/model-00-0.86.ckpt
0.3,1,64,2,0.01,256,0.1,28,262468,1706,0.862234890460968,0.864287257194519,670.821615,hp_optim/models/Walmart/HNAM/lightning_logs/version_54/checkpoints/model-00-0.86.ckpt
0.3,1,64,2,0.01,256,0.1,28,262468,1737,0.8571274876594543,0.8452889323234558,687.418434,hp_optim/models/Walmart/HNAM/lightning_logs/version_55/checkpoints/model-00-0.86.ckpt
0.3,1,8,2,0.01,256,0.1,84,7388,1706,0.8524579405784607,0.869469165802002,962.980506,hp_optim/models/Walmart/HNAM/lightning_logs/version_56/checkpoints/model-08-0.85.ckpt
0.3,1,8,2,0.01,256,0.1,84,7388,1737,0.8563382625579834,0.8388639092445374,1002.182613,hp_optim/models/Walmart/HNAM/lightning_logs/version_57/checkpoints/model-25-0.86.ckpt
0.5,4,64,1,0.001,128,0.1,28,213316,1706,0.8528222441673279,0.8506613969802856,1094.786471,hp_optim/models/Walmart/HNAM/lightning_logs/version_58/checkpoints/model-00-0.85.ckpt
0.5,4,64,1,0.001,128,0.1,28,213316,1737,0.8508833050727844,0.8353671431541443,1122.214981,hp_optim/models/Walmart/HNAM/lightning_logs/version_59/checkpoints/model-00-0.85.ckpt
